Date,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,IOC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SBILIFE,SHREECEM,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO,ADANIPORTS_1d,ADANIPORTS_2d,ADANIPORTS_3d,ADANIPORTS_4d,ADANIPORTS_5d,ADANIPORTS_6d,ADANIPORTS_7d,ADANIPORTS_target
2021-07-19,673.7,2981.95,755.2,3882.85,6015.4,12721.1,453.9,538.45,3450.15,974.0,144.45,4807.45,5419.35,2579.75,1558.8,1000.2,1471.0,678.7,2887.1,396.95,2408.65,2481.65,655.9,207.75,105.95,1015.85,1541.7,698.4,1722.8,1609.6,775.8,7165.55,121.4,17752.45,114.6,233.15,2098.95,1037.85,27996.85,427.9,689.25,3184.6,765.55,308.85,1266.4,1094.2,1680.35,833.25,7312.35,573.8,-0.0016327742318539746,0.026866557815051074,0.009425560338429433,0.013507495918064284,-0.015585572213151253,-0.012320023749443474,-0.020854979961407255,0
2021-07-20,672.6,3159.05,745.75,3905.4,5941.85,12597.15,453.8,525.75,3433.55,955.15,142.9,4787.85,5344.05,2554.85,1574.1,977.2,1443.15,663.45,2839.0,383.0,2434.9,2458.75,641.9,206.8,105.6,981.55,1550.05,682.0,1702.65,1590.35,760.2,7232.7,118.45,17856.1,112.6,231.3,2093.8,1014.75,28082.9,420.9,676.45,3205.8,757.1,302.15,1233.35,1087.2,1671.4,814.25,7424.7,568.1,0.02854594112399633,0.011076419863217264,0.015165031222123003,-0.01397561700862322,-0.010704727921498729,-0.01925364258102891,0.002824858757062113,0
2021-07-22,691.8,3106.75,746.75,3853.2,6195.55,13064.6,460.9,546.7,3425.3,949.9,144.7,4843.25,5384.5,2560.1,1582.05,978.6,1448.7,662.1,2838.25,393.5,2378.15,2490.3,655.95,207.0,106.7,992.15,1590.2,716.55,1707.2,1642.15,758.45,7299.55,119.2,17994.8,115.5,233.25,2120.7,1026.0,28080.0,422.05,687.3,3216.35,764.2,302.55,1273.0,1148.6,1701.75,828.0,7459.0,584.2,-0.016984677652500724,-0.013009540329575022,-0.04134142815842716,-0.0381613183000867,-0.04647296906620407,-0.025007227522405254,0.000289100896212844,-1
2021-07-23,680.05,3083.75,755.4,3841.9,6180.9,13201.2,461.35,548.3,3439.8,948.0,144.1,4824.75,5422.15,2549.65,1549.5,994.0,1442.75,665.35,2835.0,391.75,2358.1,2482.5,676.65,212.4,106.0,989.3,1590.45,717.55,1722.95,1611.75,764.2,7293.85,118.5,18143.95,115.3,233.0,2105.7,1050.45,27986.4,428.9,694.0,3212.85,775.15,295.55,1281.4,1131.0,1700.95,819.7,7490.3,599.15,0.0040438203073303435,-0.0247775898830967,-0.021542533637232523,-0.029997794279832332,-0.008161164620248445,0.017572237335490105,0.036762002793912216,1
2021-07-26,682.8,3061.2,756.3,3836.35,6162.45,13525.05,456.0,544.05,3482.0,950.55,144.0,4921.15,5411.25,2563.2,1550.25,1000.3,1434.55,663.1,2810.25,400.05,2348.7,2464.3,676.75,211.15,104.65,981.3,1603.9,704.55,1740.6,1597.6,754.3,7235.8,119.35,18101.35,114.55,232.7,2076.85,1076.65,27968.3,423.3,703.4,3197.55,776.35,293.15,1297.95,1120.2,1722.85,819.95,7616.7,590.45,-0.028705330990040877,-0.02548330404217923,-0.03390451083772698,-0.012155828939660157,0.013473930872876459,0.03258640890451084,0.017428236672525032,-1
2021-07-27,663.2,3028.65,731.7,3821.4,6231.45,13807.85,453.3,540.55,3450.75,913.1,142.45,4791.4,4843.35,2571.35,1518.7,992.0,1439.75,668.75,2793.85,417.35,2342.4,2433.95,677.45,208.65,103.95,975.8,1602.55,710.65,1697.95,1608.25,745.55,7240.25,118.85,18226.1,114.65,231.85,2055.0,1105.15,27865.15,429.95,688.3,3182.95,769.75,291.4,1330.65,1120.85,1729.05,812.75,7596.25,591.45,0.0033172496984317425,-0.00535283474065149,0.0170386007237635,0.04342581423401681,0.06310313630880565,0.04749698431845597,0.045762967430639186,1
2021-07-28,665.4,3004.1,722.9,3818.5,6262.0,13970.55,453.45,567.9,3424.1,889.9,144.05,4890.6,4731.75,2550.4,1533.55,983.1,1417.3,664.85,2777.7,416.3,2361.4,2425.8,685.05,209.1,104.0,992.75,1605.6,721.7,1652.85,1594.2,728.7,7165.05,116.8,18022.55,114.35,228.1,2037.35,1133.4,27491.45,425.5,687.8,3197.8,754.9,284.45,1365.0,1119.55,1723.55,814.65,7654.65,591.95,-0.00864141869552149,0.013675984370303611,0.0399759543131951,0.059588217613465555,0.044033663961527005,0.04230538022242257,0.06807935076645637,1
2021-07-29,659.65,2997.45,717.25,3763.75,6400.1,14599.05,449.1,567.15,3405.6,883.1,142.15,4843.8,4672.65,2528.15,1544.6,1007.6,1418.25,662.65,2745.7,458.1,2334.75,2414.8,687.5,206.05,103.9,992.05,1617.0,748.4,1641.65,1596.0,731.45,6993.5,116.75,17914.75,114.75,167.4,2053.25,1128.85,27638.95,441.55,703.0,3195.8,751.2,292.9,1458.6,1127.8,1739.15,819.7,7700.45,590.45,0.022511938149018453,0.04904115818994925,0.068824376563329,0.053134237853407214,0.051390889107860195,0.07738952474797252,0.06101720609414083,1
2021-07-30,674.5,2958.45,708.9,3829.6,6228.1,14222.2,445.5,561.65,3423.4,920.05,143.3,4906.1,4711.2,2530.25,1551.35,1024.95,1426.45,664.05,2763.3,444.8,2333.3,2441.15,682.5,204.95,103.15,981.0,1610.5,736.95,1654.8,1601.45,743.1,6977.7,118.2,17702.65,115.3,171.15,2035.3,1098.6,28265.75,431.8,773.95,3167.45,756.25,293.95,1434.3,1209.55,1714.55,808.55,7619.2,587.15,0.025945144551519646,0.04529280948850994,0.02994810971089703,0.028243143068939887,0.053669384729429274,0.03765752409191991,0.02742772424017791,1
2021-08-02,692.0,2974.05,721.15,3841.55,6200.5,14125.15,457.8,565.15,3504.65,921.05,143.9,4928.95,4701.55,2602.6,1591.65,1035.4,1422.65,670.35,2782.2,445.8,2332.8,2462.05,681.4,207.3,105.5,988.0,1631.55,746.7,1665.1,1613.95,757.7,7076.95,117.75,17714.65,117.1,171.0,2072.5,1107.2,29294.25,434.9,775.0,3219.4,759.55,296.85,1410.05,1210.7,1771.55,791.05,7642.05,592.25,0.01885838150289011,0.0039017341040463085,0.002239884393063518,0.027023121387283303,0.011416184971098232,0.001445086705202312,0.010332369942196499,0
